id,code,name
437,ENVE 120,IntroEnvironmentalEngineering
438,CENG 150,Intro to Engineering Analysis
439,CENG 301,ChemiclKinetics&ChemiclReactrs
440,CENG 315,Transport Phenomena
440,ENVE 315,Transport Phenomena
442,CENG 412L,ChemicalEngineering Lab&Design
443,CENG 416,ChemEngineering Process Design
443,ENVE 416,ChemEngineering Process Design
444,CENG 471,Independent Research
445,CENG 490,Senior Research Project
446,CGSC 216,Cognitive Science of Language
446,LING 116,Cognitive Science of Language
446,PSYC 116,Cognitive Science of Language
448,CGSC 313,Philosophy for Psychologists
448,PHIL 305,Philosophy for Psychologists
448,PSYC 313,Philosophy for Psychologists
449,CGSC 315,The Modern Unconscious
449,PSYC 315,The Modern Unconscious
450,CGSC 390,JuniorSeminar:CognitiveScience
451,CGSC 419,Brain Development and the Law
451,NSCI 419,Brain Development and the Law
451,PSYC 419,Brain Development and the Law
452,CGSC 420,Topics Clinical Neuroscience
452,NSCI 440,Topics Clinical Neuroscience
452,PSYC 420,Topics Clinical Neuroscience
453,CGSC 472,DirectedResearchCognitiveScien
454,CGSC 491,Senior Project
455,CGSC 492,Metaphysics Meets Cognitive Sc
455,PHIL 492,Metaphysics Meets Cognitive Sc
455,PHIL 692,Metaphysics Meets Cognitive Sc
455,PSYC 492,Metaphysics Meets Cognitive Sc
455,PSYC 692,Metaphysics Meets Cognitive Sc
456,CHEM 104,Chemistry of Food and Cooking
457,CHEM 134L,General Chemistry Laboratory I
458,CHEM 136L,GeneralChemistry Laboratory II
459,CHEM 161,General Chemistry I
460,CHEM 165,General Chemistry II
461,CHEM 167,ComprehensiveUniversityChem II
462,CHEM 175,Organic Chem for First-YearsII
463,CHEM 220,Organic Chemistry
464,CHEM 221,Organic Chem of Life Processes
465,CHEM 222L,Lab for Organic Chemistry I
466,CHEM 223L,Lab for Organic Chemistry II
467,CHEM 251L,Inorganic Chemistry Laboratory
468,CHEM 252,Intro Inorganic Chemistry
469,CHEM 330L,Lab for Physical Chemistry I
470,CHEM 331L,Lab for Physical Chemistry II
471,CHEM 333,PhysChemWithPhysScienceApps II
472,CHEM 349L,Materials Chemistry Laboratory
473,CHEM 425,SpectroscpicStructreDetrminatn
473,CHEM 525,SpectroscpicStructreDetrminatn
474,CHEM 426,Computational Chem & Biochem
474,CHEM 526,Computational Chem & Biochem
